frame_id,process,model,phase,ingest_ms,roi_ms,preprocess_ms,inference_ms,ellipse_fit_ms,pye3d_ms,ipc_transport_ms,gaze_mapping_ms,render_ms,buffer_swap_ms,total_system_latency_ms,t_start,t_end
2,eye0,pmrnet,boot,239.79820602107793,0.02,4.577331943437457,221.10713296569884,2.8458250453695655,0.08,0.35,0.05,0.45,1.2,470.47849597558377,870417.955881233,870418.184412303
39,eye0,pmrnet,loop,35.73214798234403,0.02,5.087803001515567,13.360935961827636,0.7027749670669436,0.08,0.35,0.05,0.45,1.2,57.033661912754184,870418.259742546,870418.27889546
42,eye0,pmrnet,loop,28.703974094241858,0.02,4.097174969501793,10.19821094814688,0.47865300439298153,0.08,0.35,0.05,0.45,1.2,45.62801301628351,870418.281302725,870418.296077779
44,eye0,pmrnet,loop,29.324427945539355,0.02,0.8556121028959751,12.662085006013513,0.6230210419744253,0.08,0.35,0.05,0.45,1.2,45.61514609642327,870418.298694852,870418.31283651
46,eye0,pmrnet,loop,28.095355024561286,0.02,0.7050730055198073,10.995752993039787,0.5953379441052675,0.08,0.35,0.05,0.45,1.2,42.541518967226146,870418.315450027,870418.327747072
48,eye0,pmrnet,loop,25.721619953401387,0.02,0.7666100282222033,11.131693026982248,0.5556400865316391,0.08,0.35,0.05,0.45,1.2,40.325563095137475,870418.329055867,870418.341510436
50,eye0,pmrnet,loop,27.575499028898776,0.02,4.3338199611753225,7.677081041038036,0.40130503475666046,0.08,0.35,0.05,0.45,1.2,42.13770506586879,870418.347089648,870418.359502883
52,eye0,pmrnet,loop,27.674948913045228,0.02,0.5265549989417195,7.800086052156985,0.4346130881458521,0.08,0.35,0.05,0.45,1.2,38.58620305228978,870418.366978955,870418.375740856
54,eye0,pmrnet,loop,24.972378043457866,0.02,0.699153053574264,10.042489040642977,0.5359660135582089,0.08,0.35,0.05,0.45,1.2,38.399986151233314,870418.377898574,870418.389176938
56,eye0,pmrnet,loop,17.61101302690804,0.02,0.6554418941959739,4.92904195562005,0.6616419414058328,0.08,0.35,0.05,0.45,1.2,26.007138818129896,870418.391708333,870418.397955001
57,eye0,pmrnet,loop,16.534584923647344,0.02,0.3341690171509981,3.656788030639291,1.338878064416349,0.08,0.35,0.05,0.45,1.2,24.01442003585398,870418.399617378,870418.404947672
58,eye0,pmrnet,loop,21.43865602556616,0.02,0.5000050878152251,9.363275021314621,0.4488929407671094,0.08,0.35,0.05,0.45,1.2,33.900829075463115,870418.407607562,870418.417920328
59,eye0,pmrnet,loop,26.103646960109472,0.02,0.5343660013750196,9.916170965880156,0.4531010054051876,0.08,0.35,0.05,0.45,1.2,39.157284932769834,870418.419749467,870418.430653701
61,eye0,pmrnet,loop,22.57870591711253,0.02,0.5361129296943545,10.03530202433467,0.48707600217312574,0.08,0.35,0.05,0.45,1.2,35.78719687331468,870418.432208212,870418.443267293
62,eye0,pmrnet,loop,27.685998007655144,0.02,0.5342239746823907,9.909543907269835,0.5417049396783113,0.08,0.35,0.05,0.45,1.2,40.82147082928568,870418.445457214,870418.456443272
64,eye0,pmrnet,loop,25.312995072454214,0.02,2.4282559752464294,9.598154108971357,0.4009529948234558,0.08,0.35,0.05,0.45,1.2,39.890358151495455,870418.457779891,870418.470207779
66,eye0,pmrnet,loop,21.755868918262422,0.02,0.5136718973517418,9.520543040707707,0.36732503212988377,0.08,0.35,0.05,0.45,1.2,34.307408888451754,870418.472387177,870418.482789275
67,eye0,pmrnet,loop,20.864335005171597,0.02,1.0542060481384397,4.445107071660459,0.3993069985881448,0.08,0.35,0.05,0.45,1.2,28.91295512355864,870418.484068138,870418.489967036
68,eye0,pmrnet,loop,25.21413506474346,0.02,0.5034999921917915,9.733906015753746,0.49819599371403456,0.08,0.35,0.05,0.45,1.2,38.09973706640303,870418.491648751,870418.502385002
70,eye0,pmrnet,loop,22.12055097334087,0.02,0.43404405005276203,9.750470984727144,0.49546000082045794,0.08,0.35,0.05,0.45,1.2,34.95052600894123,870418.50474921,870418.515429723
71,eye0,pmrnet,loop,26.92215400747955,0.02,0.5522399442270398,9.542447980493307,0.46532205305993557,0.08,0.35,0.05,0.45,1.2,39.63216398525983,870418.517740045,870418.528300551
73,eye0,pmrnet,loop,22.81083003617823,0.02,0.5436589708551764,9.728661039844155,0.4903780063614249,0.08,0.35,0.05,0.45,1.2,35.72352805323899,870418.52956379,870418.540327071
74,eye0,pmrnet,loop,28.690823004581034,0.02,0.5484739085659385,9.51360899489373,1.3311669463291764,0.08,0.35,0.05,0.45,1.2,42.23407285436988,870418.542882749,870418.554276494
76,eye0,pmrnet,loop,20.232209004461765,0.02,0.3360520349815488,5.887742969207466,0.40734896901994944,0.08,0.35,0.05,0.45,1.2,29.013352977670728,870418.555324265,870418.561955737
77,eye0,pmrnet,loop,23.06378202047199,0.02,0.6512789987027645,6.758161936886609,1.7681269673630595,0.08,0.35,0.05,0.45,1.2,34.39134992342442,870418.563677478,870418.572855598
78,eye0,pmrnet,loop,21.85692498460412,0.02,0.4331859527155757,4.663859028369188,0.8736760355532169,0.08,0.35,0.05,0.45,1.2,29.9776460012421,870418.573747354,870418.579718366
80,eye0,pmrnet,loop,21.68822498060763,0.02,0.6731139728799462,10.029755998402834,0.49684394616633654,0.08,0.35,0.05,0.45,1.2,35.037938898056744,870418.584486699,870418.595686963
81,eye0,pmrnet,loop,27.54929196089506,0.02,0.5309539847075939,9.961051982827485,0.48543803859502077,0.08,0.35,0.05,0.45,1.2,40.67673596702516,870418.598638852,870418.609616896
83,eye0,pmrnet,loop,24.02593905571848,0.02,0.5410340381786227,10.028291027992964,0.5346949910745025,0.08,0.35,0.05,0.45,1.2,37.27995911296457,870418.611126595,870418.622231246
85,eye0,pmrnet,loop,14.413774944841862,0.02,0.4247210454195738,3.8379159523174167,0.4541650414466858,0.08,0.35,0.05,0.45,1.2,21.280576984025537,870418.624042272,870418.628759393
86,eye0,pmrnet,loop,15.488576027564704,0.02,0.43259398080408573,5.5907410569489,0.25357306003570557,0.08,0.35,0.05,0.45,1.2,23.915484125353395,870418.631626066,870418.637903215
87,eye0,pmrnet,loop,13.599063036963344,0.02,0.28586992993950844,3.4251940669491887,0.3814289811998606,0.08,0.35,0.05,0.45,1.2,19.8415560150519,870418.639990271,870418.644083029
88,eye0,pmrnet,loop,14.912879094481468,0.02,0.5191250238567591,4.926335997879505,0.4019560292363167,0.08,0.35,0.05,0.45,1.2,22.910296145454048,870418.647617796,870418.653465642
89,eye0,pmrnet,loop,14.31294297799468,0.02,0.3386889584362507,4.2124970350414515,0.8037150837481022,0.08,0.35,0.05,0.45,1.2,21.817844055220483,870418.655579616,870418.660934844
90,eye0,pmrnet,loop,20.940723014064133,0.02,0.5121930735185742,10.868010926060379,0.6347530288621783,0.08,0.35,0.05,0.45,1.2,35.10568004250526,870418.6636134,870418.675629236
91,eye0,pmrnet,loop,30.22561699617654,0.02,3.3421979751437902,12.097054976038635,0.5286509403958917,0.08,0.35,0.05,0.45,1.2,48.343520887754856,870418.677013987,870418.69298292
94,eye0,pmrnet,loop,21.59995900001377,0.02,1.9454050343483686,4.752257955260575,0.4416239680722356,0.08,0.35,0.05,0.45,1.2,30.889245957694946,870418.701425156,870418.70856521
95,eye0,pmrnet,loop,19.88353196065873,0.02,0.5177769344300032,4.501317045651376,0.2847900614142418,0.08,0.35,0.05,0.45,1.2,27.33741600215435,870418.70961426,870418.714918629
96,eye0,pmrnet,loop,25.03439807333052,0.02,0.6055450066924095,10.331013007089496,0.48797891940921545,0.08,0.35,0.05,0.45,1.2,38.60893500652164,870418.716712448,870418.728137558
100,eye0,pmrnet,loop,23.519017966464162,0.02,1.3199610402807593,10.250300983898342,0.6602050270885229,0.08,0.35,0.05,0.45,1.2,37.899485017731784,870418.746666347,870418.758897374
102,eye0,pmrnet,loop,19.361734972335398,0.02,0.9820340201258659,8.51364596746862,0.5827569402754307,0.08,0.35,0.05,0.45,1.2,31.590171900205313,870418.760799299,870418.770878793
104,eye0,pmrnet,loop,19.389351014979184,0.02,1.3493259903043509,4.393609007820487,0.7961560040712357,0.08,0.35,0.05,0.45,1.2,28.078442017175256,870418.780504872,870418.78704446
105,eye0,pmrnet,loop,18.706267001107335,0.02,0.49792102072387934,4.533363971859217,1.077108085155487,0.08,0.35,0.05,0.45,1.2,26.964660078845917,870418.788322353,870418.794431154
106,eye0,pmrnet,loop,25.649313000030816,0.02,0.5611550295725465,10.683087981306016,0.44721493031829596,0.08,0.35,0.05,0.45,1.2,39.49077094122767,870418.797750066,870418.809442314
108,eye0,pmrnet,loop,26.3001739513129,0.02,2.1370709873735905,11.590542970225215,1.3515959726646543,0.08,0.35,0.05,0.45,1.2,43.52938388157636,870418.811151247,870418.826231161
110,eye0,pmrnet,loop,19.900054088793695,0.02,0.7045870879665017,5.874781985767186,0.4411019617691636,0.08,0.35,0.05,0.45,1.2,29.070525124296545,870418.828948604,870418.835969733
111,eye0,pmrnet,loop,18.38073891121894,0.02,0.4737689159810543,4.581345012411475,0.4684450104832649,0.08,0.35,0.05,0.45,1.2,26.054297850094734,870418.836995333,870418.842519143
112,eye0,pmrnet,loop,23.841960937716067,0.02,0.6573679856956005,10.824511991813779,0.6543319905176759,0.08,0.35,0.05,0.45,1.2,38.12817290574312,870418.843911121,870418.856048182
113,eye0,pmrnet,loop,30.964658013544977,0.02,0.6355580408126116,11.107275960966945,0.5651579704135656,0.08,0.35,0.05,0.45,1.2,45.4226499857381,870418.858931758,870418.871240353
