frame_id,process,model,phase,ingest_ms,roi_ms,preprocess_ms,inference_ms,ellipse_fit_ms,pye3d_ms,ipc_transport_ms,gaze_mapping_ms,render_ms,buffer_swap_ms,total_system_latency_ms,t_start,t_end
33,eye0,pmrnet,boot,227.04509703908116,0.02,1.752020907588303,205.0827379571274,2.590127056464553,0.08,0.35,0.05,0.45,1.2,438.6199829602614,865644.874416306,865645.083841691
60,eye0,pmrnet,loop,18.56988004874438,0.02,0.9165569208562374,4.695724928751588,0.27671700809150934,0.08,0.35,0.05,0.45,1.2,26.608878906443714,865645.087341343,865645.093231021
61,eye0,pmrnet,loop,21.25543891452253,0.02,0.5710450932383537,8.831823011860251,0.2692529233172536,0.08,0.35,0.05,0.45,1.2,33.077559942938386,865645.094312858,865645.103985464
62,eye0,pmrnet,loop,18.012059037573636,0.02,0.4400559701025486,3.2861080253496766,0.37283299025148153,0.08,0.35,0.05,0.45,1.2,24.26105602327734,865645.104712225,865645.108811607
63,eye0,pmrnet,loop,15.878712991252542,0.02,0.34856691490858793,3.606982994824648,0.5685960641130805,0.08,0.35,0.05,0.45,1.2,22.552858965098856,865645.110222365,865645.114746975
64,eye0,pmrnet,loop,16.279281000606716,0.02,0.3703549737110734,4.056954989209771,0.5582699086517096,0.08,0.35,0.05,0.45,1.2,23.41486087217927,865645.118230353,865645.123216318
65,eye0,pmrnet,loop,15.945961931720376,0.02,0.40166801773011684,3.694743965752423,0.6229969440028071,0.08,0.35,0.05,0.45,1.2,22.81537085920572,865645.126232708,865645.130952472
66,eye0,pmrnet,loop,20.992303965613246,0.02,0.5451489705592394,9.000031976029277,0.24891691282391548,0.08,0.35,0.05,0.45,1.2,32.936401825025676,865645.134272958,865645.144067713
67,eye0,pmrnet,loop,19.731797045096755,0.02,1.3185238931328058,4.2581509333103895,0.2304560039192438,0.08,0.35,0.05,0.45,1.2,27.688927875459193,865645.145070355,865645.150877839
68,eye0,pmrnet,loop,17.202520975843072,0.02,0.3617180045694113,3.8731229724362493,1.1871790047734976,0.08,0.35,0.05,0.45,1.2,24.77454095762223,865645.150995182,865645.156417569
69,eye0,pmrnet,loop,15.490369987674057,0.02,0.3591750282794237,3.417277941480279,0.732510001398623,0.08,0.35,0.05,0.45,1.2,22.14933295883238,865645.158265302,865645.162774483
70,eye0,pmrnet,loop,22.373127983883023,0.02,0.5023210542276502,9.639843949116766,1.3250230113044381,0.08,0.35,0.05,0.45,1.2,35.99031599853188,865645.166257662,865645.177725358
71,eye0,pmrnet,loop,19.361876999028027,0.02,0.5162039306014776,3.8544420385733247,0.4952140152454376,0.08,0.35,0.05,0.45,1.2,26.377736983448266,865645.177917617,865645.182783936
72,eye0,pmrnet,loop,16.653846949338913,0.02,0.32761204056441784,3.5538559313863516,0.43411809019744396,0.08,0.35,0.05,0.45,1.2,23.119433011487125,865645.183829144,865645.188144949
73,eye0,pmrnet,loop,14.497713069431484,0.02,0.3292110050097108,3.2245690235868096,0.2238149754703045,0.08,0.35,0.05,0.45,1.2,20.425308073498307,865645.19027976,865645.194057687
74,eye0,pmrnet,loop,16.21018606238067,0.02,0.4928900161758065,3.550813999027014,1.5351519687101245,0.08,0.35,0.05,0.45,1.2,23.939042046293615,865645.198260128,865645.203839278
75,eye0,pmrnet,loop,16.80407498497516,0.02,0.2792029408738017,3.3024519216269255,1.7489689635112882,0.08,0.35,0.05,0.45,1.2,24.284698810987173,865645.207171136,865645.212501969
76,eye0,pmrnet,loop,20.84565896075219,0.02,0.33781491219997406,9.481859975494444,0.5193870747461915,0.08,0.35,0.05,0.45,1.2,33.334720923192805,865645.214272636,865645.224612073
77,eye0,pmrnet,loop,24.190357071347535,0.02,0.49969193059951067,9.468892007134855,0.4096589982509613,0.08,0.35,0.05,0.45,1.2,36.71860000733286,865645.225646687,865645.236025463
78,eye0,pmrnet,loop,29.124291031621397,0.02,1.9895409932360053,9.47763491421938,1.3349830405786633,0.08,0.35,0.05,0.45,1.2,44.07644997965544,865645.236226456,865645.249029255
80,eye0,pmrnet,loop,20.232804003171623,0.02,0.4118459764868021,5.697548971511424,0.4359650192782283,0.08,0.35,0.05,0.45,1.2,28.928163970448075,865645.249730117,865645.256275821
81,eye0,pmrnet,loop,16.94277999922633,0.02,0.3301779506728053,3.700494999065995,0.6348839960992336,0.08,0.35,0.05,0.45,1.2,23.758336945064364,865645.256388929,865645.261054746
82,eye0,pmrnet,loop,14.456009026616812,0.02,0.3510779934003949,3.711163066327572,0.34082296770066023,0.08,0.35,0.05,0.45,1.2,21.009073054045437,865645.262233709,865645.266636992
83,eye0,pmrnet,loop,21.150181884877384,0.02,0.4881930071860552,9.60193993523717,1.02770805824548,0.08,0.35,0.05,0.45,1.2,34.41802288554609,865645.27028131,865645.281399745
