process,plugin,model,phase,sample_count,processing_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,e2e_latency_ms,t_start,t_end
world,Recorder,Recorder,boot,1,0.0027060741558670998,0.0,0.0027060741558670998,0.0027060741558670998,0.0027060741558670998,0.0027060741558670998,870329.160924044,870329.16092675
world,Recorder,Recorder,loop,26,0.00446452759206295,0.006250016320580535,0.0021359883248806,0.035600969567894936,0.0040379236452281475,0.00446452759206295,870329.16092675,870330.167950045
world,Recorder,Recorder,loop,48,0.003756431397050619,0.0036621245646728073,0.002227025106549263,0.028291018679738045,0.003926589852198958,0.003756431397050619,870330.167950045,870331.179747964
world,Recorder,Recorder,loop,44,0.0038198433520103044,0.004620893464254473,0.001987908035516739,0.033398973755538464,0.0038433296140283346,0.0038198433520103044,870331.179747964,870332.186777017
world,Recorder,Recorder,loop,34,0.003339055076460628,0.005138632065825501,0.0014110701158642769,0.03266299609094858,0.00382802099920809,0.003339055076460628,870332.186777017,870333.190230456
world,Recorder,Recorder,loop,49,0.0026958794998271124,0.004107173262850516,0.0011640368029475212,0.03095099236816168,0.00292602926492691,0.0026958794998271124,870333.190230456,870334.210970706
world,Recorder,Recorder,loop,47,0.003260860041259451,0.0031546098923175116,0.001667998731136322,0.024373061023652554,0.0038072816096246225,0.003260860041259451,870334.210970706,870335.219501607
world,Recorder,Recorder,loop,8,0.005990266799926758,0.00959074931289502,0.0017880229279398918,0.031335046514868736,0.021561986068263636,0.005990266799926758,870335.219501607,870336.234519383
world,Recorder,Recorder,loop,49,0.0030129496958486886,0.00429316689285074,0.0016640406101942062,0.03263005055487156,0.0031934119760990143,0.0030129496958486886,870336.234519383,870337.253673851
world,Recorder,Recorder,loop,49,0.003219558382216765,0.0032927062308991547,0.0014669494703412056,0.02572906669229269,0.003672251477837561,0.003219558382216765,870337.253673851,870338.272986873
world,Recorder,Recorder,loop,49,0.002794989327691039,0.0029293854319298214,0.0015510013327002525,0.02290192060172558,0.0030602794140577308,0.002794989327691039,870338.272986873,870339.288447295
world,Recorder,Recorder,loop,49,0.0029693818556106822,0.004155646551785045,0.0016039703041315079,0.031599076464772224,0.0032724114134907705,0.0029693818556106822,870339.288447295,870340.307216195
world,Recorder,Recorder,loop,49,0.00309764778203502,0.00405158339771145,0.0013739336282014847,0.03097404260188341,0.003350665792822838,0.00309764778203502,870340.307216195,870341.325562824
world,Recorder,Recorder,loop,18,0.003624888550904062,0.005153004906509706,0.0015420373529195786,0.02480496186763048,0.006354082142934172,0.003624888550904062,870341.325562824,870342.326667128
world,Recorder,Recorder,loop,48,0.0031509334803558886,0.004289665605138958,0.0015329569578170776,0.032359035685658455,0.0035555392969399686,0.0031509334803558886,870342.326667128,870343.339395536
world,Recorder,Recorder,loop,49,0.003365958964794266,0.004326069857972092,0.0015189871191978455,0.03305298741906881,0.003260839730501175,0.003365958964794266,870343.339395536,870344.35820517
world,Recorder,Recorder,loop,48,0.0028284218084687987,0.0026652263551783075,0.0015069963410496712,0.02084404695779085,0.0030995288398116827,0.0028284218084687987,870344.35820517,870345.361941155
world,Recorder,Recorder,loop,49,0.002785379124083081,0.002963944680222193,0.0014890683814883232,0.023093074560165405,0.0033166492357850066,0.002785379124083081,870345.361941155,870346.375330902
world,Recorder,Recorder,loop,43,0.0031960337574398795,0.0044753328973597345,0.0015030382201075554,0.03206497058272362,0.0031645642593503,0.0031960337574398795,870346.375330902,870347.716569321
eye1,Pye3DPlugin,Pye3DPlugin,boot,1,24.884940939955413,0.0,24.884940939955413,24.884940939955413,24.884940939955413,260.6425799895078,870411.640891283,870411.665776224
eye1,Pye3DPlugin,Pye3DPlugin,loop,101,0.6258283098606338,0.11286268258734582,0.43510599061846733,1.0765830520540476,0.8723009377717972,15.069837983937399,870411.665776224,870412.6684049
eye1,Pye3DPlugin,Pye3DPlugin,loop,125,0.5937691600993276,0.08381752717035433,0.4005220253020525,1.1992569779977202,0.7269142661243677,14.984625191427767,870412.6684049,870413.676552225
eye1,Pye3DPlugin,Pye3DPlugin,loop,120,0.6542896308625737,0.19025077911434124,0.4493000451475382,1.4058520318940282,1.1465343355666844,16.674817478633486,870413.676552225,870414.680531258
