process,plugin,model,stage,frame_timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
eye0,Pye3DPlugin,Pye3DPlugin,gl_display,0.0,0.007160007953643799,0.007160007953643799,843968.907011757,843968.907018917
eye0,Pye3DPlugin,Pye3DPlugin,detect,0.0,0.08437398355454206,0.08437398355454206,843969.403172708,843969.403257082
eye0,Pye3DPlugin,Pye3DPlugin,recent_events,843969.184915,0.09263900574296713,218.3455730555579,843969.403167363,843969.403260002
eye0,Detector2DPlugin,pmrnet,gl_display,0.0,0.0007969792932271957,0.0007969792932271957,843968.907007459,843968.907008256
eye0,Detector2DPlugin,pmrnet,detect,0.0,207.98967697191983,207.98967697191983,843969.195160987,843969.403150664
eye0,Detector2DPlugin,pmrnet,recent_events,843969.184915,208.0070620868355,218.24804099742323,843969.195154678,843969.40316174
eye0,Detector2DPlugin,pmrnet,gl_display,0.0,0.0064070336520671844,0.0064070336520671844,843969.40717049,843969.407176897
eye0,Roi,Roi,gl_display,0.0,0.0018810387700796127,0.0018810387700796127,843968.906996705,843968.906998586
eye0,Roi,Roi,recent_events,843969.184915,0.039390986785292625,10.232846019789577,843969.195104018,843969.195143409
eye0,Roi,Roi,gl_display,0.0,0.018098042346537113,0.018098042346537113,843969.407149805,843969.407167903
eye1,Pye3DPlugin,Pye3DPlugin,gl_display,0.0,0.005943002179265022,0.005943002179265022,843968.909758983,843968.909764926
eye1,Pye3DPlugin,Pye3DPlugin,detect,0.0,0.07230008486658335,0.07230008486658335,843969.459748474,843969.459820774
eye1,Pye3DPlugin,Pye3DPlugin,recent_events,843969.243363,0.07938896305859089,216.46086405962706,843969.459743833,843969.459823222
eye1,Detector2DPlugin,pmrnet,gl_display,0.0,0.0006170012056827545,0.0006170012056827545,843968.909754969,843968.909755586
eye1,Detector2DPlugin,pmrnet,detect,0.0,206.73469302710146,206.73469302710146,843969.252994227,843969.45972892
eye1,Detector2DPlugin,pmrnet,recent_events,843969.243363,206.74927497748286,216.37726400513202,843969.252989974,843969.459739249
eye1,Detector2DPlugin,pmrnet,gl_display,0.0,0.006102956831455231,0.006102956831455231,843969.463490532,843969.463496635
eye1,Roi,Roi,gl_display,0.0,0.001276959665119648,0.001276959665119648,843968.909749922,843968.909751199
eye1,Roi,Roi,recent_events,843969.243363,0.026453984901309013,9.622259996831417,843969.252956404,843969.252982858
eye1,Roi,Roi,gl_display,0.0,0.016973004676401615,0.016973004676401615,843969.463471032,843969.463488005
eye0,UVC_Source,UVC_Source,gl_display,0.0,6.119677098467946,6.119677098467946,843968.900857196,843968.906976873
eye0,UVC_Source,UVC_Source,gl_display,0.0,3.73716710601002,3.73716710601002,843969.403406155,843969.407143322
eye1,UVC_Source,UVC_Source,gl_display,0.0,5.770199000835419,5.770199000835419,843968.9039622,843968.909732399
eye1,UVC_Source,UVC_Source,gl_display,0.0,3.513755975291133,3.513755975291133,843969.459951013,843969.463464769
world,UVC_Source,UVC_Source,gl_display,0.0,0.13090798165649176,0.13090798165649176,843965.101912805,843965.102043713
world,UVC_Source,UVC_Source,recent_events,0.0,174.80619193520397,174.80619193520397,843965.106522146,843965.281328338
world,UVC_Source,UVC_Source,recent_events,843965.261581,43.98213606327772,68.0157479364425,843965.285605814,843965.32958795
world,UVC_Source,UVC_Source,gl_display,0.0,7.8711980022490025,7.8711980022490025,843965.330596332,843965.33846753
world,UVC_Source,UVC_Source,recent_events,843965.295092,25.71270999033004,70.4511689255014,843965.339825454,843965.365538164
world,UVC_Source,UVC_Source,gl_display,0.0,7.05732696224004,7.05732696224004,843965.366116378,843965.373173705
world,UVC_Source,UVC_Source,recent_events,843965.328602,21.900051971897483,68.68420692626387,843965.375383758,843965.39728381
