process,plugin,model,stage,frame_timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
world,UVC_Source,UVC_Source,gl_display,0.0,0.32474007457494736,0.32474007457494736,843987.338763061,843987.339087801
world,UVC_Source,UVC_Source,recent_events,0.0,175.7483440451324,175.7483440451324,843987.346365577,843987.522113921
world,UVC_Source,UVC_Source,recent_events,843987.501484,23.69220496620983,68.26137099415064,843987.54604576,843987.569737965
world,UVC_Source,UVC_Source,gl_display,0.0,14.06915602274239,14.06915602274239,843987.571405243,843987.585474399
world,UVC_Source,UVC_Source,recent_events,843987.534995,17.293944023549557,70.7701740320772,843987.588464968,843987.605758912
world,UVC_Source,UVC_Source,gl_display,0.0,6.944108055904508,6.944108055904508,843987.607318088,843987.614262196
world,UVC_Source,UVC_Source,recent_events,843987.568505,22.598313982598484,69.22811002004892,843987.615129501,843987.637727815
world,UVC_Source,UVC_Source,gl_display,0.0,5.74733002576977,5.74733002576977,843987.638610846,843987.644358176
world,UVC_Source,UVC_Source,recent_events,843987.602015,24.467826006002724,67.7683170652017,843987.645310124,843987.66977795
world,UVC_Source,UVC_Source,gl_display,0.0,6.2445770017802715,6.2445770017802715,843987.670668665,843987.676913242
world,UVC_Source,UVC_Source,recent_events,843987.635526,28.46666402183473,70.52701094653457,843987.677580728,843987.706047392
world,UVC_Source,UVC_Source,gl_display,0.0,8.966960944235325,8.966960944235325,843987.706636336,843987.715603297
world,UVC_Source,UVC_Source,recent_events,843987.669036,21.01769100409001,68.82808194495738,843987.716841077,843987.737858768
world,UVC_Source,UVC_Source,gl_display,0.0,8.981557912193239,8.981557912193239,843987.7384332,843987.747414758
world,UVC_Source,UVC_Source,recent_events,843987.702547,21.430618013255298,67.57922098040581,843987.748690283,843987.770120901
world,UVC_Source,UVC_Source,gl_display,0.0,9.573265095241368,9.573265095241368,843987.770779779,843987.780353044
world,UVC_Source,UVC_Source,recent_events,843987.736057,24.417334934696555,69.7118459502235,843987.78134353,843987.805760865
world,UVC_Source,UVC_Source,gl_display,0.0,10.844571981579065,10.844571981579065,843987.806330917,843987.817175489
world,UVC_Source,UVC_Source,recent_events,843987.769567,19.571101991459727,68.17296706140041,843987.818163123,843987.837734225
world,UVC_Source,UVC_Source,gl_display,0.0,9.36579704284668,9.36579704284668,843987.838509224,843987.847875021
world,UVC_Source,UVC_Source,recent_events,843987.803078,24.584548082202673,70.67901606205851,843987.84916663,843987.873751178
world,UVC_Source,UVC_Source,gl_display,0.0,9.754257975146174,9.754257975146174,843987.874351026,843987.884105284
world,UVC_Source,UVC_Source,recent_events,843987.836588,20.534352050162852,69.14999708533287,843987.885198124,843987.905732476
world,UVC_Source,UVC_Source,gl_display,0.0,9.61045001167804,9.61045001167804,843987.906299527,843987.915909977
world,UVC_Source,UVC_Source,recent_events,843987.870099,20.784529973752797,67.60689499787986,843987.916915821,843987.937700351
world,UVC_Source,UVC_Source,gl_display,0.0,9.771532961167395,9.771532961167395,843987.93842289,843987.948194423
world,UVC_Source,UVC_Source,recent_events,843987.903609,24.453129968605936,70.12242695782334,843987.949273036,843987.973726166
world,UVC_Source,UVC_Source,gl_display,0.0,10.254431050270796,10.254431050270796,843987.975864716,843987.986119147
world,UVC_Source,UVC_Source,recent_events,843987.937119,18.41560599859804,68.62283800728619,843987.98732025,843988.005735856
world,UVC_Source,UVC_Source,gl_display,0.0,9.822504944168031,9.822504944168031,843988.008673861,843988.018496366
world,UVC_Source,UVC_Source,recent_events,843987.97063,18.067989964038134,67.09249899722636,843988.019648759,843988.037716749
world,UVC_Source,UVC_Source,gl_display,0.0,9.542062995024025,9.542062995024025,843988.039500266,843988.049042329
world,UVC_Source,UVC_Source,recent_events,843988.00414,23.508979007601738,69.57525201141834,843988.050201082,843988.073710061
world,UVC_Source,UVC_Source,gl_display,0.0,9.520496940240264,9.520496940240264,843988.075104075,843988.084624572
world,UVC_Source,UVC_Source,recent_events,843988.037651,20.237784017808735,68.09874100144953,843988.085506476,843988.10574426
world,UVC_Source,UVC_Source,gl_display,0.0,9.90033196285367,9.90033196285367,843988.107350177,843988.117250509
world,UVC_Source,UVC_Source,recent_events,843988.071161,23.336209007538855,70.33995899837464,843988.118162956,843988.141499165
world,UVC_Source,UVC_Source,gl_display,0.0,2.0840109791606665,2.0840109791606665,843988.142043628,843988.144127639
world,UVC_Source,UVC_Source,recent_events,843988.104671,29.10991501994431,68.83741694036871,843988.144396608,843988.173506523
world,UVC_Source,UVC_Source,gl_display,0.0,2.073278999887407,2.073278999887407,843988.174126636,843988.176199915
world,UVC_Source,UVC_Source,recent_events,843988.138182,29.20232096221298,67.51362897921354,843988.176487894,843988.205690215
world,UVC_Source,UVC_Source,gl_display,0.0,10.13867009896785,10.13867009896785,843988.207763342,843988.217902012
world,UVC_Source,UVC_Source,recent_events,843988.171692,22.8762689512223,70.06423303391784,843988.218874607,843988.241750876
world,UVC_Source,UVC_Source,gl_display,0.0,9.938339935615659,9.938339935615659,843988.244190345,843988.254128685
world,UVC_Source,UVC_Source,recent_events,843988.205203,18.731237039901316,68.53386701550335,843988.254999787,843988.273731024
world,UVC_Source,UVC_Source,gl_display,0.0,9.880208992399275,9.880208992399275,843988.275730398,843988.285610607
world,UVC_Source,UVC_Source,recent_events,843988.238713,22.84170698840171,71.02732500061393,843988.286892941,843988.309734648
world,UVC_Source,UVC_Source,gl_display,0.0,9.403126081451774,9.403126081451774,843988.312179382,843988.321582508
world,UVC_Source,UVC_Source,recent_events,843988.272223,19.512849976308644,69.55564301460981,843988.322260766,843988.341773616
world,UVC_Source,UVC_Source,gl_display,0.0,9.355511050671339,9.355511050671339,843988.343446136,843988.352801647
world,UVC_Source,UVC_Source,recent_events,843988.305734,20.238964003510773,68.00407893024385,843988.35349375,843988.373732714
world,UVC_Source,UVC_Source,gl_display,0.0,9.549475042149425,9.549475042149425,843988.375331293,843988.384880768
world,UVC_Source,UVC_Source,recent_events,843988.339244,24.162789923138916,70.50699496176094,843988.385582942,843988.409745732
world,UVC_Source,UVC_Source,gl_display,0.0,9.789453004486859,9.789453004486859,843988.41219747,843988.421986923
world,UVC_Source,UVC_Source,recent_events,843988.372755,18.92765995580703,68.98424495011568,843988.422806972,843988.441734632
world,UVC_Source,UVC_Source,gl_display,0.0,9.610668988898396,9.610668988898396,843988.4436675,843988.453278169
world,UVC_Source,UVC_Source,recent_events,843988.406265,19.489341997541487,67.43343896232545,843988.454204802,843988.473694144
world,UVC_Source,UVC_Source,gl_display,0.0,9.474953985773027,9.474953985773027,843988.47566651,843988.485141464
world,UVC_Source,UVC_Source,recent_events,843988.439775,23.904385045170784,69.9613830074668,843988.485827009,843988.509731394
world,UVC_Source,UVC_Source,gl_display,0.0,9.504748042672873,9.504748042672873,843988.512397621,843988.521902369
world,UVC_Source,UVC_Source,recent_events,843988.473286,19.050557049922645,68.47335898783058,843988.522703463,843988.54175402
world,UVC_Source,UVC_Source,gl_display,0.0,9.166692034341395,9.166692034341395,843988.543788705,843988.552955397
world,UVC_Source,UVC_Source,recent_events,843988.506796,24.119589012116194,70.92919410206378,843988.553600057,843988.577719646
world,UVC_Source,UVC_Source,gl_display,0.0,10.159916011616588,10.159916011616588,843988.579762783,843988.589922699
world,UVC_Source,UVC_Source,recent_events,843988.540307,17.640053993090987,69.46176593191922,843988.592122946,843988.609763
world,UVC_Source,UVC_Source,gl_display,0.0,10.801977012306452,10.801977012306452,843988.611492485,843988.622294462
world,UVC_Source,UVC_Source,recent_events,843988.573817,18.382796901278198,68.00952192861587,843988.623435197,843988.641817994
world,UVC_Source,UVC_Source,gl_display,0.0,9.791080025024712,9.791080025024712,843988.642523492,843988.652314572
world,UVC_Source,UVC_Source,recent_events,843988.607327,24.67891899868846,70.48722298350185,843988.653129281,843988.6778082
world,UVC_Source,UVC_Source,gl_display,0.0,9.840292972512543,9.840292972512543,843988.678736521,843988.688576814
world,UVC_Source,UVC_Source,recent_events,843988.640838,20.210032002069056,68.95047798752785,843988.689572358,843988.70978239
world,UVC_Source,UVC_Source,gl_display,0.0,9.89991903770715,9.89991903770715,843988.710447098,843988.720347017
world,UVC_Source,UVC_Source,recent_events,843988.674348,20.576882059685886,67.45808804407716,843988.721223297,843988.741800179
world,UVC_Source,UVC_Source,gl_display,0.0,9.895034017972648,9.895034017972648,843988.742460666,843988.7523557
world,UVC_Source,UVC_Source,recent_events,843988.707859,24.560098070651293,69.94753808248788,843988.753239865,843988.777799963
world,UVC_Source,UVC_Source,gl_display,0.0,10.323529946617782,10.323529946617782,843988.77845707,843988.7887806
world,UVC_Source,UVC_Source,recent_events,843988.741369,19.81106190942228,68.39001597836614,843988.789941834,843988.809752896
world,UVC_Source,UVC_Source,gl_display,0.0,9.802986984141171,9.802986984141171,843988.810523609,843988.820326596
world,UVC_Source,UVC_Source,recent_events,843988.774879,24.559680023230612,70.85935492068529,843988.821173775,843988.845733455
world,UVC_Source,UVC_Source,gl_display,0.0,8.258517016656697,8.258517016656697,843988.846497111,843988.854755628
world,UVC_Source,UVC_Source,recent_events,843988.80839,22.839484037831426,69.38287196680903,843988.854928489,843988.877767973
world,UVC_Source,UVC_Source,gl_display,0.0,9.867043932899833,9.867043932899833,843988.878281353,843988.888148397
world,UVC_Source,UVC_Source,recent_events,843988.8419,20.768721005879343,67.84193601924926,843988.888968425,843988.909737146
world,UVC_Source,UVC_Source,gl_display,0.0,9.782921988517046,9.782921988517046,843988.910343876,843988.920126798
world,UVC_Source,UVC_Source,recent_events,843988.875411,24.681827053427696,70.35777799319476,843988.921081007,843988.945762834
world,UVC_Source,UVC_Source,gl_display,0.0,9.715238003991544,9.715238003991544,843988.946360345,843988.956075583
world,UVC_Source,UVC_Source,recent_events,843988.908921,20.758023019880056,68.91435699071735,843988.957070736,843988.977828759
world,UVC_Source,UVC_Source,gl_display,0.0,9.83813893981278,9.83813893981278,843988.97849379,843988.988331929
world,UVC_Source,UVC_Source,recent_events,843988.942431,20.342472940683365,67.37081508617848,843988.989453691,843989.009796164
world,UVC_Source,UVC_Source,gl_display,0.0,9.20860597398132,9.20860597398132,843989.010660482,843989.019869088
world,UVC_Source,UVC_Source,recent_events,843988.975942,25.161108002066612,69.90742695052177,843989.020682635,843989.045843743
world,UVC_Source,UVC_Source,gl_display,0.0,9.75708500482142,9.75708500482142,843989.046534674,843989.056291759
world,UVC_Source,UVC_Source,recent_events,843989.009452,20.32442600466311,68.3579029282555,843989.057479298,843989.077803724
world,UVC_Source,UVC_Source,gl_display,0.0,9.67875705100596,9.67875705100596,843989.07848414,843989.088162897
world,UVC_Source,UVC_Source,recent_events,843989.042963,24.396811961196363,70.82315802108496,843989.089383728,843989.11378054
world,UVC_Source,UVC_Source,gl_display,0.0,9.7467009909451,9.7467009909451,843989.114356845,843989.124103546
world,UVC_Source,UVC_Source,recent_events,843989.076473,20.41376696433872,69.291612948291,843989.12534505,843989.145758817
