process,plugin,model,phase,sample_count,processing_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,e2e_latency_ms,t_start,t_end
world,UVC_Source,UVC_Source,boot,1,175.66178494598716,0.0,175.66178494598716,175.66178494598716,175.66178494598716,175.66178494598716,869243.28581627,869243.461478055
world,UVC_Source,UVC_Source,loop,30,27.857245275905978,5.160999200951609,12.354702921584249,34.94416899047792,33.40954874292947,68.84851174351449,869243.461478055,869244.481033412
world,UVC_Source,UVC_Source,loop,30,30.10395730379969,1.9827994027825333,27.10364491213113,33.248967956751585,33.15264436532743,68.81998761091381,869244.481033412,869245.485048182
world,UVC_Source,UVC_Source,loop,30,25.884120954045404,7.874243096013484,0.10591500904411077,35.93582799658179,33.13339177984744,69.76400153168167,869245.485048182,869246.49333476
world,UVC_Source,UVC_Source,loop,25,24.63596296031028,7.749466972066656,0.14006393030285835,33.07259106077254,32.75420379359275,69.32735147420317,869246.49333476,869247.497159854
world,UVC_Source,UVC_Source,loop,30,29.61765410533796,2.108196916982927,26.47269901353866,33.1842249725014,32.88052958087064,68.85039136201765,869247.497159854,869248.501148796
world,UVC_Source,UVC_Source,loop,30,29.532200606384624,1.9070042672604177,27.639481937512755,32.60110202245414,32.422986190067604,68.92098376605038,869248.501148796,869249.509193447
world,UVC_Source,UVC_Source,loop,30,29.715189632649224,2.04090164493813,27.239501010626554,33.041508984752,32.76269527268596,69.1122466349043,869249.509193447,869250.513275326
world,UVC_Source,UVC_Source,loop,30,29.69114649264763,2.1127367375540356,27.300371904857457,33.04669598583132,32.90023168665357,68.91049129966025,869250.513275326,869251.517323351
world,UVC_Source,UVC_Source,loop,30,29.611036833375692,2.1376040736797566,27.07009797450155,33.303478034213185,32.73579491651617,69.08774897068118,869251.517323351,869252.525311986
world,UVC_Source,UVC_Source,loop,30,29.792602461141843,2.0682183592560155,26.642601005733013,33.267288003116846,32.75681929662824,69.157095591072,869252.525311986,869253.529416518
world,UVC_Source,UVC_Source,loop,30,29.762141006843496,1.9851666707289182,27.13474805932492,33.36691402364522,32.966307195601985,69.08697149095435,869253.529416518,869254.533415288
