process,plugin,model,phase,sample_count,processing_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,e2e_latency_ms,t_start,t_end
world,UVC_Source,UVC_Source,boot,1,175.48349499702454,0.0,175.48349499702454,175.48349499702454,175.48349499702454,175.48349499702454,870522.869140995,870523.04462449
world,UVC_Source,UVC_Source,loop,30,27.909654064569622,4.375450320970613,17.457608017139137,36.52409801725298,33.1909227243159,68.8287775691909,870523.04462449,870524.064133979
world,UVC_Source,UVC_Source,loop,30,29.432675688682746,2.2529761309235266,25.555370026268065,33.07222994044423,32.988939428469166,68.7075536698103,870524.064133979,870525.068181263
world,UVC_Source,UVC_Source,loop,29,22.184855035698877,11.083783854252918,0.08799508213996887,33.084464026615024,33.015553024597466,70.63016368092262,870525.068181263,870526.076434609
world,UVC_Source,UVC_Source,loop,25,22.856305241584778,7.419589281906191,0.14107697643339634,33.067143987864256,31.8138720234856,69.04888956341892,870526.076434609,870527.080275377
world,UVC_Source,UVC_Source,loop,30,29.3403505308864,2.0446506413980177,27.41416299249977,33.11016201041639,32.619033922674134,68.86961463217933,870527.080275377,870528.084344663
world,UVC_Source,UVC_Source,loop,30,29.605866561178118,2.0437300693829026,27.465192950330675,33.02745602559298,32.95278115547262,69.04970637212197,870528.084344663,870529.0923328
world,UVC_Source,UVC_Source,loop,30,29.358654224779457,2.0979263772720658,27.435336029157043,33.25639897957444,32.71627823705785,68.86375339624162,870529.0923328,870530.096414231
world,UVC_Source,UVC_Source,loop,30,29.097419903458405,1.993491545787115,26.89831703901291,32.91477099992335,32.055513199884444,69.07722116059934,870530.096414231,870531.100444303
world,UVC_Source,UVC_Source,loop,30,29.54314911039546,1.850238303369979,27.621933026239276,32.746413024142385,31.988477206323296,69.12662040364619,870531.100444303,870532.108523039
world,UVC_Source,UVC_Source,loop,30,29.474682733416557,1.957097582683745,26.46597195416689,32.68786205444485,32.15162118431181,69.06375700297455,870532.108523039,870533.11254177
world,UVC_Source,UVC_Source,loop,30,29.47492959210649,2.1311056327338935,25.430963025428355,33.252632012590766,32.13475743541494,69.12163719534874,870533.11254177,870534.116604722
world,UVC_Source,UVC_Source,loop,30,30.043522462559242,2.1850422604237343,27.732069953344762,33.382121939212084,33.27796060475521,69.16960276430473,870534.116604722,870535.124622941
world,UVC_Source,UVC_Source,loop,30,29.928903669739764,1.9924849383471848,27.652367018163204,33.20947999600321,33.155044802697375,69.25344554474577,870535.124622941,870536.128705685
