plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783308.595172,0.004361034370958805,1787643586297.3206,783308.665628284,783308.665632645
Recorder,783308.628682,0.004702014848589897,1787643586295.847,783308.697664428,783308.69766913
Recorder,783308.662193,0.004795030690729618,1787643586294.2627,783308.729591068,783308.729595863
Recorder,783308.695703,0.004376983270049095,1787643586296.7693,783308.765608191,783308.765612568
Recorder,783308.729213,0.004219007678329945,1787643586295.8223,783308.798171242,783308.798175461
Recorder,783308.762724,0.004014000296592712,1787643586297.8784,783308.833738654,783308.833742668
Recorder,783308.796234,0.0038919970393180847,1787643586296.3691,783308.865739143,783308.865743035
Recorder,783308.829745,0.004100962541997433,1787643586294.7166,783308.89759344,783308.897597541
Recorder,783308.863255,0.004668952897191048,1787643586297.285,783308.933675403,783308.933680072
Recorder,783308.896765,0.019640079699456692,1787643586296.113,783308.96599856,783308.9660182
Recorder,783308.930276,0.0741670373827219,1787643586294.469,783308.997809925,783308.997884092
Recorder,783308.963786,0.0037730205804109573,1787643586296.7478,783309.033670019,783309.033673792
Recorder,783308.997297,0.004171975888311863,1787643586295.2412,783309.065674165,783309.065678337
Recorder,783309.030807,0.004043919034302235,1787643586297.8245,783309.101767429,783309.101771473
Recorder,783309.064317,0.004185945726931095,1787643586296.639,783309.134091979,783309.134096165
Recorder,783309.097828,0.003989902324974537,1787643586294.6394,783309.165603443,783309.165607433
Recorder,783309.131338,0.004193047061562538,1787643586297.222,783309.201695849,783309.201700042
Recorder,783309.164849,0.004351022653281689,1787643586295.8174,783309.233802122,783309.233806473
Recorder,783309.198359,0.004319008439779282,1787643586294.1167,783309.265611658,783309.265615977
Recorder,783309.231869,0.004349974915385246,1787643586296.8901,783309.301895177,783309.301899527
Recorder,783309.26538,0.004353001713752747,1787643586295.1152,783309.33363089,783309.333635243
Recorder,783309.29889,0.00413600355386734,1787643586297.704,783309.369730166,783309.369734302
Recorder,783309.332401,0.004964997060596943,1787643586296.208,783309.40174419,783309.401749155
Recorder,783309.365911,0.00453100074082613,1787643586294.6472,783309.433694007,783309.433698538
Recorder,783309.399421,0.004708999767899513,1787643586297.3545,783309.469895934,783309.469900643
Recorder,783309.432932,0.004173954948782921,1787643586295.5994,783309.501667522,783309.501671696
Recorder,783309.466442,0.004346948117017746,1787643586298.0295,783309.537607582,783309.537611929
Recorder,783309.499953,0.004573957994580269,1787643586296.607,783309.569695596,783309.56970017
Recorder,783309.533463,0.004339031875133514,1787643586295.049,783309.601648239,783309.601652578
Recorder,783309.566973,0.00458303838968277,1787643586297.7542,783309.637862836,783309.637867419
Recorder,783309.600484,0.004127970896661282,1787643586296.119,783309.669738919,783309.669743047
Recorder,783309.633994,0.0043050386011600494,1787643586294.506,783309.701635962,783309.701640267
Recorder,783309.667505,0.004323082976043224,1787643586297.0784,783309.737719156,783309.737723479
Recorder,783309.701015,0.004429020918905735,1787643586295.551,783309.769701751,783309.76970618
Recorder,783309.734525,0.00415195245295763,1787643586298.2744,783309.805935728,783309.80593988
Recorder,783309.768036,0.004841014742851257,1787643586296.5654,783309.837736707,783309.837741548
Recorder,783309.801546,0.003927969373762608,1787643586294.9597,783309.869642065,783309.869645993
Recorder,783309.835057,0.0036869896575808525,1787643586297.4834,783309.905676998,783309.905680685
Recorder,783309.868567,0.0036730198189616203,1787643586295.9272,783309.937630926,783309.937634599
Recorder,783309.902077,0.004717963747680187,1787643586294.6997,783309.969912256,783309.969916974
Recorder,783309.935588,0.06820098496973515,1787643586297.033,783310.005692387,783310.005760588
Recorder,783309.969098,0.004751957021653652,1787643586295.5178,783310.03773413,783310.037738882
Recorder,783310.002609,0.004418077878654003,1787643586297.9897,783310.073734409,783310.073738827
Recorder,783310.036119,0.005495967343449593,1787643586296.6418,783310.105894646,783310.105900142
